GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Java-Linear-Algebra,linalg.concurrent,ThreadTypes,27,0,0,0,2,0,1,0,1,0
Java-Linear-Algebra,linalg.concurrent,MatrixAdditionWorker,105,0,4,0,18,0,5,0,3,0
Java-Linear-Algebra,linalg.concurrent,ConcurrentMatrixAddition,132,0,8,0,31,0,8,0,4,0
Java-Linear-Algebra,linalg.concurrent,MatrixMultiplicationWorker,175,0,14,0,16,0,9,0,2,0
Java-Linear-Algebra,linalg.concurrent,ConcurrentMatrixMultiplication,139,0,8,0,32,0,8,0,4,0
Java-Linear-Algebra,linalg.complex_number,CNumber,893,106,107,3,160,28,103,5,48,5
Java-Linear-Algebra,linalg.util,StringUtils,9,48,2,6,3,9,3,4,1,2
Java-Linear-Algebra,linalg.util,Token,24,43,3,5,6,10,5,7,2,6
Java-Linear-Algebra,linalg.util,ShapeLexer,129,0,30,0,37,0,18,0,3,0
Java-Linear-Algebra,linalg.util,LinAlgArrayUtils,573,29,68,4,97,5,52,3,18,1
Java-Linear-Algebra,linalg.util,NumberLexer,113,142,31,29,29,39,22,10,0,2
Java-Linear-Algebra,linalg.util,ExampleMatrices,900,0,0,0,19,0,2,0,2,0
Java-Linear-Algebra,linalg.util,Parser,128,90,11,7,29,23,10,2,2,1
Java-Linear-Algebra,linalg.util,FileManager,247,0,16,0,49,0,12,0,4,0
Java-Linear-Algebra,linalg.util,Lexer,13,49,1,7,5,11,3,7,2,4
Java-Linear-Algebra,linalg,QRDecomposition,1049,0,18,0,79,0,14,0,5,0
Java-Linear-Algebra,linalg,SchurDecomposition,368,0,12,0,55,0,8,0,2,0
Java-Linear-Algebra,linalg,MatrixOperations,2106,0,186,0,283,0,134,0,41,0
Java-Linear-Algebra,linalg,MatrixMultiplicationAlgorithms,132,0,6,0,11,0,6,0,3,0
Java-Linear-Algebra,linalg,LUDecomposition,544,0,37,0,98,0,28,0,8,0
Java-Linear-Algebra,linalg,MatrixManipulations,1884,0,148,0,272,0,115,0,41,0
Java-Linear-Algebra,linalg,PrintOptions,7,9,0,0,2,4,1,1,1,1
Java-Linear-Algebra,linalg,SingularValueDecomposition,371,0,0,0,24,0,3,0,3,0
Java-Linear-Algebra,linalg,MatrixChecks,47,0,8,0,12,0,6,0,2,0
Java-Linear-Algebra,linalg,Solvers,332,0,20,0,52,0,18,0,8,0
Java-Linear-Algebra,linalg,Matrix,1517,169,118,14,251,42,107,10,45,6
Java-Linear-Algebra,linalg,Vector,751,0,50,0,165,0,51,0,26,0
Java-Linear-Algebra,linalg,CholeskyDecomposition,123,0,10,0,18,0,7,0,2,0
Java-Linear-Algebra,linalg,MatrixComparisons,208,0,42,0,47,0,28,0,7,0
Java-Linear-Algebra,linalg,MatrixProperties,2330,18,214,0,291,6,149,3,42,3
Java-Linear-Algebra,linalg,Decompose,127,0,16,0,28,0,19,0,11,0
